[07/04/2016 18:18:55][                                  Main()] Index was outside the bounds of the array.
[07/04/2016 18:25:56][                                  Main()] Index was outside the bounds of the array.
[07/04/2016 18:26:19][                                  Main()] Index was outside the bounds of the array.
[07/05/2016 21:26:28][                       GTB_SBO_ItemEvent] Current thread must be set to single thread apartment (STA) mode before OLE calls can be made. Ensure that your Main function has STAThreadAttribute marked on it. This exception is only raised if a debugger is attached to the process.
[07/05/2016 21:26:28][             SBO_Application_ItemEvent()] Current thread must be set to single thread apartment (STA) mode before OLE calls can be made. Ensure that your Main function has STAThreadAttribute marked on it. This exception is only raised if a debugger is attached to the process.
[07/07/2016 16:07:15][                         GenerateCSVFile] ERROR [S1000] [SAP AG][LIBODBCHDB32 DLL][HDBODBC32] General error;1299 no data found: "SBODEMOSG"."AE_SP001_ANAPLANTRAILBALEXTRACTION": line 12 col 1 (at pos 139): [1299] (range 3) no data found exception: no data found
[07/07/2016 16:26:36][                                  Main()] Unable to cast COM object of type 'System.__ComObject' to interface type 'SAPbouiCOM.EditText'. This operation failed because the QueryInterface call on the COM component for the interface with IID '{AE1C43FF-0F2B-4130-A0B7-40E38D5EC60E}' failed due to the following error: No such interface supported (Exception from HRESULT: 0x80004002 (E_NOINTERFACE)).
[07/07/2016 16:26:36][             SBO_Application_MenuEvent()] Unable to cast COM object of type 'System.__ComObject' to interface type 'SAPbouiCOM.EditText'. This operation failed because the QueryInterface call on the COM component for the interface with IID '{AE1C43FF-0F2B-4130-A0B7-40E38D5EC60E}' failed due to the following error: No such interface supported (Exception from HRESULT: 0x80004002 (E_NOINTERFACE)).
[07/07/2016 16:28:02][                         GenerateCSVFile] Object reference not set to an instance of an object.
[07/07/2016 16:44:39][                         GenerateCSVFile] The process cannot access the file 'C:\Users\user1\Desktop\Apple Care Certificate\SBODEMOSG TRIAL BALANCE July-2016.csv' because it is being used by another process.
[07/07/2016 16:48:42][                         GenerateCSVFile] The process cannot access the file 'C:\Users\user1\Desktop\Apple Care Certificate\SBODEMOSG TRIAL BALANCE July-2016.csv' because it is being used by another process.
[07/07/2016 18:20:14][                                  Main()] 1). [SAP AG][LIBODBCHDB32 DLL][HDBODBC32] General error;260 invalid column name: TABLEID: line 1 col 33 (at pos 32)

[07/07/2016 18:20:14][                                  Main()] 1). [SAP AG][LIBODBCHDB32 DLL][HDBODBC32] General error;260 invalid column name: TABLEID: line 1 col 33 (at pos 32)

[07/07/2016 18:20:14][                                  Main()] 1). [SAP AG][LIBODBCHDB32 DLL][HDBODBC32] General error;260 invalid column name: TABLEID: line 1 col 33 (at pos 32)

[07/07/2016 18:21:43][                                  Main()] 1). [SAP AG][LIBODBCHDB32 DLL][HDBODBC32] General error;260 invalid column name: TABLEID: line 1 col 33 (at pos 32)

[07/07/2016 18:21:43][                                  Main()] 1). [SAP AG][LIBODBCHDB32 DLL][HDBODBC32] General error;260 invalid column name: TABLEID: line 1 col 33 (at pos 32)

[07/07/2016 18:21:43][                                  Main()] 1). [SAP AG][LIBODBCHDB32 DLL][HDBODBC32] General error;260 invalid column name: TABLEID: line 1 col 33 (at pos 32)

[07/07/2016 18:22:17][                                  Main()] 1). [SAP AG][LIBODBCHDB32 DLL][HDBODBC32] General error;260 invalid column name: TABLEID: line 1 col 33 (at pos 32)

[07/07/2016 18:22:35][                                  Main()] 1). [SAP AG][LIBODBCHDB32 DLL][HDBODBC32] General error;260 invalid column name: TABLEID: line 1 col 33 (at pos 32)

